week,region,mean_BT,min_BT,max_BT,week_start_date
10,Western Hemisphere,246.60120500837053,184.23068237304688,270.3060913085937,2025-03-05
11,North America,255.82943507603235,201.84375,269.12060546875,2025-03-12
11,South America,252.6932852608817,182.57945251464844,271.66094970703125,2025-03-12
11,Tropics,243.90439932686942,181.6903381347656,269.45928955078125,2025-03-12
11,Western Hemisphere,247.86913844517298,182.57945251464844,271.66094970703125,2025-03-12
12,North America,254.48958478655135,197.9062042236328,267.9350891113281,2025-03-19
12,South America,251.45887320382255,185.79722595214844,268.95123291015625,2025-03-19
12,Tropics,245.50420488630022,179.78506469726562,267.59637451171875,2025-03-19
12,Western Hemisphere,246.47807094029017,183.42623901367188,269.8403625488281,2025-03-19
13,North America,251.89682006835938,193.71463012695312,269.925048828125,2025-03-26
13,South America,246.34598214285714,185.79722595214844,267.0883178710937,2025-03-26
13,Tropics,245.21609497070312,181.6903381347656,268.2314758300781,2025-03-26
13,Western Hemisphere,244.96844264439173,185.79722595214844,270.3060913085937,2025-03-26
14,North America,252.61365618024553,195.7045745849609,268.82421875,2025-04-02
14,South America,248.76904514857702,185.03512573242188,268.65484619140625,2025-04-02
14,Tropics,242.84063284737724,185.03512573242188,265.5217590332031,2025-04-02
14,Western Hemisphere,245.2132786342076,185.03512573242188,297.6571655273437,2025-04-02
15,North America,252.25914219447546,184.01898193359375,266.79193115234375,2025-04-09
15,South America,248.52264622279577,180.5048370361328,269.71331787109375,2025-04-09
15,Tropics,242.0239497593471,180.5048370361328,265.18304443359375,2025-04-09
15,Western Hemisphere,245.83474949428015,180.5048370361328,269.71331787109375,2025-04-09
16,North America,253.02848161969865,202.2671356201172,268.18914794921875,2025-04-16
16,South America,248.73573303222656,183.21453857421875,269.2899475097656,2025-04-16
16,Tropics,245.70830426897322,180.5048370361328,265.6487731933594,2025-04-16
16,Western Hemisphere,245.27960859026228,180.5048370361328,270.8988342285156,2025-04-16
17,North America,256.34275817871094,213.44467163085938,268.7818603515625,2025-04-23
17,South America,248.87725830078125,185.54318237304688,271.4915771484375,2025-04-23
17,Tropics,245.12035914829798,184.7810821533203,267.9350891113281,2025-04-23
