date,region,mean_BT,min_BT,max_BT
2025-01-20,Tropics,250.5381774902344,192.1480865478516,267.4270324707031
2025-01-20,North America,255.11294555664065,211.83578491210935,268.1044311523437
2025-01-20,South America,251.582275390625,197.4828186035156,264.802001953125
2025-01-21,Western Hemisphere,248.06060791015625,200.3195343017578,266.410888671875
2025-01-21,Tropics,249.851806640625,191.59768676757807,267.4270324707031
2025-01-21,North America,255.3256683349609,223.18264770507807,265.98748779296875
2025-01-21,South America,250.845703125,205.82362365722656,265.5217590332031
2025-01-22,Western Hemisphere,248.212646484375,197.05943298339844,268.7818603515625
2025-01-22,Tropics,249.92979431152344,185.79722595214844,270.26373291015625
2025-01-22,North America,255.2862701416016,219.4991455078125,265.98748779296875
2025-01-22,South America,252.08628845214844,204.8921661376953,268.2738037109375
